problem_title,python_solutions
shuffle an array,"class Solution:
	def __init__(self, nums: List[int]):
		self.arr = nums[:]  # Deep Copy, Can also use Shallow Copy concept!
		# self.arr = nums  # Shallow Copy would be something like this!

	def reset(self) -> List[int]:
		return self.arr

	def shuffle(self) -> List[int]:
		ans = self.arr[:]
		for i in range(len(ans)):
			swp_num = random.randrange(i, len(ans))  # Fisher-Yates Algorithm
			ans[i], ans[swp_num] = ans[swp_num], ans[i]
		return ans"
shuffle an array,"class Solution:
    def partitionDisjoint(self, nums: List[int]) -> int:
        a = list(accumulate(nums, max)) 
        b = list(accumulate(nums[::-1], min))[::-1]
        for i in range(1, len(nums)):
            if a[i-1] <= b[i]: 
                return i"
mini parser,"class Solution:
    def deserialize(self, s: str) -> NestedInteger:
        if not s: return NestedInteger()
        if not s.startswith(""[""): return NestedInteger(int(s)) # integer 
        ans = NestedInteger()
        s = s[1:-1] # strip outer ""["" and ""]""
        if s: 
            ii = op = 0 
            for i in range(len(s)): 
                if s[i] == ""["": op += 1
                if s[i] == ""]"": op -= 1
                if s[i] == "","" and op == 0: 
                    ans.add(self.deserialize(s[ii:i]))
                    ii = i+1
            ans.add(self.deserialize(s[ii:i+1]))
        return ans"
mini parser,"class Solution:
    def deserialize(self, s: str) -> NestedInteger:
        stack = []
        integerStr = ''
        
        for c in s:
            if c == '[':
                stack.append(NestedInteger())
            elif c == ']':
                if len(integerStr)>0:
                    stack[-1].add(NestedInteger(int(integerStr)))
                integerStr = ''
                poppedList = stack.pop()
                if len(stack)==0:
                    return poppedList
                stack[-1].add(poppedList)
            elif c == ',':
                if len(integerStr)>0:
                    stack[-1].add(NestedInteger(int(integerStr)))
                integerStr = ''
            else:
                integerStr += c
                
        return NestedInteger(int(s))"
lexicographical numbers,"class Solution:
    def lexicalOrder(self, n: int) -> List[int]:
        return sorted([x for x in range(1,n+1)],key=lambda x: str(x))"
lexicographical numbers,"class Solution:
    def lexicalOrder(self, n: int) -> List[int]:
        return sorted(list(map(str,list(range(1,n+1)))))"
first unique character in a string,"class Solution:
	def firstUniqChar(self, s: str) -> int:

		for i in range(len(s)):

			if s[i] not in s[:i] and s[i] not in s[i+1:]:

				return i

		return -1"
first unique character in a string,"class Solution:
	def firstUniqChar(self, s: str) -> int:

		frequency = {}

		for char in s:

			if char not in frequency:
				frequency[char] = 1
			else:
				frequency[char] = frequency[char] + 1

		for index in range(len(s)):

			if frequency[s[index]] == 1:
				return index

		return -1"
longest absolute file path,"class Solution:
    def lengthLongestPath(self, s: str) -> int:
        paths, stack, ans = s.split('\n'), [], 0
        for path in paths:
            p = path.split('\t')
            depth, name = len(p) - 1, p[-1]
            l = len(name)
            while stack and stack[-1][1] >= depth: stack.pop()
            if not stack: stack.append((l, depth))
            else: stack.append((l+stack[-1][0], depth))
            if '.' in name: ans = max(ans, stack[-1][0] + stack[-1][1])   
        return ans"
longest absolute file path,"class Solution:
    def lengthLongestPath(self, input: str) -> int:
        max_len,ht = 0,{}
        for p in input.split(""\n""):
            key=p.count(""\t"")
            if ""."" not in p:
                value = len(p.replace(""\t"",""""))
                ht[key]=value
            else:
                temp_len = key + len(p.replace(""\t"",""""))
                for ky in ht.keys():
                    if ky < key:
                        temp_len += ht[ky]
                max_len=max(max_len,temp_len)
        return max_len"
find the difference,"class Solution:
    def findTheDifference(self, s: str, t: str) -> str:
    	s, t = sorted(s), sorted(t)
    	for i,j in enumerate(s):
    		if j != t[i]: return t[i]
    	return t[-1]"
find the difference,"class Solution:
    def findTheDifference(self, s: str, t: str) -> str:
    	for i in set(t):
    		if s.count(i) != t.count(i): return i"
elimination game,"class Solution:
    def lastRemaining(self, n: int) -> int:
        if n == 1: return 1
        if n&amp;1: n -= 1
        return n + 2 - 2*self.lastRemaining(n//2)"
elimination game,"class Solution:
    def lastRemaining(self, n: int) -> int:
        
        def fn(n): 
            """"""Return the final number of a list of length n.""""""
            if n == 1: return 1
            if n&amp;1: n -= 1
            return n + 2*(1 - fn(n//2))
        
        return fn(n)"
perfect rectangle,"class Solution:
    def isRectangleCover(self, rectangles: List[List[int]]) -> bool:
        
        area = 0
        corners = set()
        a = lambda: (Y-y) * (X-x)
        
        for x, y, X, Y in rectangles:
            area += a()
            corners ^= {(x,y), (x,Y), (X,y), (X,Y)}

        if len(corners) != 4: return False
        x, y = min(corners, key=lambda x: x[0] + x[1])
        X, Y = max(corners, key=lambda x: x[0] + x[1])
        return a() == area"
perfect rectangle,"class Solution:
    def isRectangleCover(self, rectangles: List[List[int]]) -> bool:
        xs=[]
        ys=[]
        
        for sx,sy,ex,ey in rectangles:
            xs.append(sx)
            xs.append(ex)
            
            ys.append(sy)
            ys.append(ey)
            
        xlookup={x:i for i,x in enumerate(sorted(set(xs)))}
        ylookup={y:i for i,y in enumerate(sorted(set(ys)))}
        
        N=len(xlookup)-1
        M=len(ylookup)-1
        grid=[[0]*M for _ in range(N)]
        
        for sx,sy,ex,ey in rectangles:
            for cx in range(xlookup[sx],xlookup[ex]):
                for cy in range(ylookup[sy],ylookup[ey]):
                    grid[cx][cy]+=1
                    
        for row in grid:
            for cell in row:
                if cell!=1:
                    return False
                
        return True"
is subsequence,"class Solution(object):
    def isSubsequence(self, s, t):
        # Base case
        if not s:
            return True
        i = 0
        # Traverse elements of t string
        for j in t:
            # If this index matches to the index of s string, increment i pointer...
            if j == s[i]:
                i += 1
            # If the pointer is equal to the size of s...
            if i == len(s):
                break
        return i == len(s)"
is subsequence,"class Solution:
    def isSubsequence(self, s: str, t: str) -> bool:
        i, j, n, m = 0, 0, len(s), len(t)
        while i < n and j < m: # Loop till any of the strings is fully traversed
			if s[i] == t[j]: # If char at i and j are equal then update i
				i += 1 
			# Could also write i += s[i]==t[j]
            j += 1 # Update j always.
        return i == n"
utf 8 validation,"class Solution:
    def validUtf8(self, data: List[int]) -> bool:
        n = len(data)
        l = [2**i for i in range(7, -1, -1)]
        
        def isXByteSeq(pos, X):
            f = data[pos]
            rem = data[pos+1:pos+X]
            ret = (f&amp;l[X]) == 0
            for i in range(X):
                ret &amp;= (f&amp;l[i]) != 0
            for num in rem:
                ret &amp;= (num&amp;l[0]) != 0
                ret &amp;= (num&amp;l[1]) == 0
            return ret
            
        @cache
        def res(pos = 0):
            ret = False
            if pos == n:
                ret = True
            if pos + 3 < n:
                ret |= isXByteSeq(pos, 4) and res(pos + 4)
            if pos + 2 < n:
                ret |= isXByteSeq(pos, 3) and res(pos + 3)
            if pos + 1 < n:
                ret |= isXByteSeq(pos, 2) and res(pos + 2)
            if pos < n:
                ret |= isXByteSeq(pos, 0) and res(pos + 1)
            return ret
        
        return res()"
utf 8 validation,"class Solution:
    def validUtf8(self, data: List[int]) -> bool:
        
        count = 0                                   # Keep a tally of non-first bytes required
        
        for byte in data:                           # Pad out bytes to nine digits and ignore the 1st 1
            byte|= 256                                  # Ex: 35 = 0b100101 --> 35|256 = 0b1_00100101
			
                                                    # Check for bad bytes.
            if (byte >> 3 == 0b1_11111 or               # One of first five digits must be a 1
                (byte >> 6 == 0b1_10)^(count>0)):       # Non-first byte can happen if and only if the current count !=0.
                return False
                                                    # Update counts after new byte. (1-byte -> no change
													# to count required because count == 0.)
            if   byte >> 5 == 0b1_110 : count = 1       # 2-byte first byte
            elif byte >> 4 == 0b1_1110: count = 2       # 3-byte first byte
            elif byte >> 4 == 0b1_1111: count = 3       # 4-byte first byte
            elif byte >> 6 == 0b1_10  : count-= 1       # non-first bytes

        return not count                            # Check for zero-count at EOL"
decode string,"class Solution:
def decodeString(self, s: str) -> str:
    
    res,num = """",0
    st = []
    for c in s:
        if c.isdigit():
            num = num*10+int(c)    
        elif c==""["":
            st.append(res)
            st.append(num)
            res=""""
            num=0
        elif c==""]"":
            pnum = st.pop()
            pstr = st.pop()
            res = pstr + pnum*res
        else:
            res+=c
    
    return res"
decode string,"class Solution:
def decodeString(self, s: str) -> str:       
    def dfs(s,p):
        res = """"
        i,num = p,0
        while i<len(s):
            asc = (ord(s[i])-48)
            if 0<=asc<=9:           # can also be written as if s[i].isdigit()
                num=num*10+asc
            elif s[i]==""["":
                local,pos = dfs(s,i+1)
                res+=local*num
                i=pos
                num=0
            elif s[i]==""]"":
                return res,i
            else:
                res+=s[i]
            i+=1
        return res,i
    
    return dfs(s,0)[0]"
longest substring with at least k repeating characters,"class Solution:
    def rec(self, s, k):
        c = Counter(s)

        if pattern := ""|"".join(filter(lambda x: c[x] < k, c)):
            if arr := list(filter(lambda x: len(x) >= k, re.split(pattern, s))):
            
                return max(map(lambda x: self.rec(x, k), arr))
            
            return 0
        
        return len(s)
    
    def longestSubstring(self, s: str, k: int) -> int:
        return self.rec(s, k)"
longest substring with at least k repeating characters,"class Solution:
    def longestSubstring(self, s: str, k: int) -> int:
        #sliding window and hashmap O(n) or Divide and conquer(O(n*n))
        n=len(s)
        ans=0     
        freq= Counter(s)
        max_nums=len(freq)
        for num in range(1,max_nums+1):
            counter=defaultdict(int)
            left=0
            for right in range(n):
                counter[s[right]]+=1 
                
                while len(counter)>num:
                    counter[s[left]]-=1
                    if counter[s[left]]==0:
                        del counter[s[left]]
                    left+=1
                for key in counter:
                    if counter[key]>=k :
                        flag=1
                    else:
                        flag=0
                        break
                if flag==1:
                    ans=max(ans,right-left+1)
        return ans"
rotate function,"class Solution:
    def maxRotateFunction(self, A: List[int]) -> int:
        s, n = sum(A), len(A)
        cur_sum = sum([i*j for i, j in enumerate(A)])
        ans = cur_sum
        for i in range(n): ans = max(ans, cur_sum := cur_sum + s-A[n-1-i]*n)
        return ans"
rotate function,"class Solution:
    def maxRotateFunction(self, nums: List[int]) -> int:
        s, n = sum(nums), len(nums)
        rotate_sum = 0
        
        for i in range(n):
            rotate_sum += nums[i] * i       # ex. [0, 1, 2, 3]  --> 0*0 + 1*1 + 2*2 + 3*3
            
        res = rotate_sum
        
        for i in range(n-1, 0 , -1):
            rotate_sum += s - n * nums[i]   # 0*0 + 1*1 + 2*2 + 3*3 --> 0*1 + 1*2 + 2*3 + 3*4 --> 0*1 + 1*2 + 2*3 + 3*0
            res = max(res, rotate_sum)      # update res
            
        return res"
integer replacement,"class Solution:
    def integerReplacement(self, n: int) -> int:
        cnt = 0
        while n != 1:
            if n%2 == 0:
                n//=2
            elif n%4 == 1 or n == 3:
                n -= 1
            else:
                n += 1
            cnt += 1
        return cnt"
integer replacement,"class Solution:
    def integerReplacement(self, n: int) -> int:
        def helper(n, memo):
            if n in memo:
                return memo[n]
            elif n%2:
                memo[n] = 1 + min(helper(n-1,memo), helper(n+1,memo))
                return memo[n]
            else:
                memo[n] = 1 + helper(n//2, memo)
                return memo[n]
       
        memo = {1:0}
        return helper(n, memo)"
random pick index,"class Solution:

    def __init__(self, nums: List[int]):
        # Reservoir Sampling (which can handle the linked list with unknown size), time complexity O(n) (init: O(1), pick: O(n)), space complextiy O(1)
        self.nums = nums

    def pick(self, target: int) -> int:
        # https://docs.python.org/3/library/random.html
        count = 0
        chosen_index = None
        for i in range(len(self.nums)):
            if self.nums[i] != target:
                continue
            count += 1
            if count == 1:
                chosen_index = i
            elif random.random() < 1 / count:
                chosen_index = i
        return chosen_index"
random pick index,"class Solution:
    def __init__(self, nums: List[int]):
        self.nums = nums

    def pick(self, target: int) -> int:
        count = 0        
        for i, n in enumerate(self.nums):
            if n == target:
                count += 1
                if random.randrange(count) == 0:
                    picked = i
                    
        return picked"
evaluate division,"class Solution:
    def calcEquation(self, equations: List[List[str]], values: List[float], queries: List[List[str]]) -> List[float]:
        graph = {}
        for (u, v), w in zip(equations, values): 
            graph.setdefault(u, []).append((v, 1/w))
            graph.setdefault(v, []).append((u, w))

        def dfs(n, g, val=1):
            """"""Depth-first traverse the graph.""""""
            if n in vals: return 
            vals[n] = val, g
            for nn, w in graph.get(n, []): dfs(nn, g, w*val)
    
        vals = dict()
        for i, n in enumerate(graph): dfs(n, i)
        
        ans = []
        for u, v in queries: 
            if u in vals and v in vals and vals[u][1] == vals[v][1]: ans.append(vals[u][0]/vals[v][0])
            else: ans.append(-1)
        return ans"
evaluate division,"class Solution:
    def calcEquation(self, equations: List[List[str]], values: List[float], queries: List[List[str]]) -> List[float]:
        # directed graph as adjacency list 
        digraph = {} 
        for (u, v), w in zip(equations, values): 
            digraph.setdefault(u, []).append((v, w))
            digraph.setdefault(v, []).append((u, 1/w))
            
        # query 
        def dfs(u, v, w=1): 
            """"""Return division via dfs.""""""
            if u not in digraph: return -1 
            if u == v: return w
            seen.add(u)
            for uu, ww in digraph.get(u, []): 
                if uu not in seen and (ans := dfs(uu, v, w*ww)) != -1: return ans 
            return -1
        
        ans = []
        for u, v in queries: 
            seen = set()
            ans.append(dfs(u, v))
        return ans"
nth digit,"class Solution:
    def findNthDigit(self, n: int) -> int:
        digit = base = 1 # starting from 1 digit
        while n > 9*base*digit: # upper limit of d digits 
            n -= 9*base*digit
            digit += 1
            base *= 10 
        q, r = divmod(n-1, digit)
        return int(str(base + q)[r])"
nth digit,"class Solution:
    def findNthDigit(self, n: int) -> int:
        """"""
        imagine the number you need to find have 4 digit
        so you need to go throught all num have 1 digit, 2 digit, 3 digit
        number have 1 digit:  10 ** 1 - 1 = 9 => 9 * 1 = 9 digit
        number have 2 digit:  10 ** 2 - 1 = 90 => 90 * 2 = 180 digit
        number have 3 digit:  10 ** 3 - 1 = 900 => 900 * 3 = 2700 digit
        ...
        just subtract until you find how many digit of the number you need to find
        when you got the number of digit 
        """"""
        if n < 10:
            return n
        
        number_of_digit = 0 # check how many digit of the number you need to find
        while n > 0:
            number_of_digit += 1
            n -= 9 * 10 ** ((number_of_digit - 1)) * number_of_digit
        n += 9 * 10 ** ((number_of_digit - 1)) * number_of_digit
        
        """""" 
        print(n , number_of_digit) if you dont understand 
        after subtract you will find number of digit
        all you need to do now is find exactly number by just a little bit of math
        """""" 
        tmp_num = 0
        
        if n % number_of_digit == 0:
            n //= number_of_digit 
            tmp_num += 10 ** ((number_of_digit - 1)) - 1
            return int(str(tmp_num + n)[-1])
        else:
            n /= number_of_digit
            digit = int((n * number_of_digit) % number_of_digit)
            tmp_num += 10 ** ((number_of_digit - 1)) - 1
            return int(str(int(tmp_num + n) + 1)[digit - 1])"
binary watch,"class Solution:
    def readBinaryWatch(self, n: int) -> List[str]:
    	return [str(h)+':'+'0'*(m<10)+str(m) for h in range(12) for m in range(60) if (bin(m)+bin(h)).count('1') == n]"
binary watch,"class Solution:
    def readBinaryWatch(self, turnedOn):
        return ['{}:{}'.format(i,str(j).zfill(2)) for i in range(12) for j in range(60) if bin(i)[2:].count('1') + bin(j)[2:].count('1') == turnedOn]"
remove k digits,"class Solution:
    def removeKdigits(self, num: str, k: int) -> str:
        st = list()
        for n in num:
            while st and k and st[-1] > n:
                st.pop()
                k -= 1
            
            if st or n is not '0': # prevent leading zeros
                st.append(n)
                
        if k: # not fully spent
			st = st[0:-k]
            
        return ''.join(st) or '0'"
remove k digits,"class Solution:
    def removeKdigits(self, num: str, k: int) -> str:
        st = []
        for i in num:
            while k and len(st) > 0 and st[-1] > i:
                k -= 1
                st.pop()
            st.append(i)
        while k:
            k -= 1
            st.pop()
        st = """".join(st).lstrip(""0"")
        return st if st else ""0"""
frog jump,"class Solution(object):
    def canCross(self, stones):
        n = len(stones)
        stoneSet = set(stones)
        visited = set()
        def goFurther(value,units):
            if (value+units not in stoneSet) or ((value,units) in visited):
                return False
            if value+units == stones[n-1]:
                return True
            visited.add((value,units))
            return goFurther(value+units,units) or goFurther(value+units,units-1) or goFurther(value+units,units+1)
        return goFurther(stones[0],1)"
frog jump,"class Solution:
    def canCross(self, stones: List[int]) -> bool:
        L = len(stones)
        
        if stones[1] != 1: return False
        
        @cache
        def canCross(stone, k):
            if stone == stones[-1]:
                return True

            jumps = [k, k+1]
            if k > 1: jumps.append(k-1)
            
            for jump in jumps:
                nextStone = stone + jump
                found = bisect_left(stones, nextStone)
                if found < L and stones[found] == nextStone and canCross(nextStone, jump):
                    return True
                
            return False
        
        return canCross(1, 1)"
sum of left leaves,"class Solution:
    def sumOfLeftLeaves(self, root: Optional[TreeNode]) -> int:
        if not root:
            return 0

        # does this node have a left child which is a leaf?
        if root.left and not root.left.left and not root.left.right:
			# gotcha
            return root.left.val + self.sumOfLeftLeaves(root.right)

        # no it does not have a left child or it's not a leaf
        else:
			# bummer
            return self.sumOfLeftLeaves(root.left) + self.sumOfLeftLeaves(root.right)"
sum of left leaves,"class Solution:
    def sumOfLeftLeaves(self, root: Optional[TreeNode]) -> int:
        if not root: return 0
        
        queue = collections.deque([root])
        res = 0
        
        while queue:
            node = queue.popleft()
            if node:
			    # check if the current node has a left child
				# and that left child is a leaf, if yes, consider it
                if node.left and not node.left.left and not node.left.right:
                    res += node.left.val
				
				# irrespectively, add the children
				# of the current node to continue
				# your bfs exploration further
                queue.append(node.left)
                queue.append(node.right)
                
        return res"
convert a number to hexadecimal,"class Solution:
    def toHex(self, num: int) -> str:
        hex=""0123456789abcdef"" #created string for reference
        ot="""" # created a string variable to store and update output string
        if num==0:
            return ""0""
        elif num<0:
            num+=2**32
        while num:
            ot=hex[num%16]+ot # we update the output string with the reminder of num/16 , 16 because we are dealing with hex.
            num//=16 # now we are updating num by dividing it by 16 ***// operator used for floor division , means division will be always integer not float.
        return ot # then we simply return ot"
convert a number to hexadecimal,"class Solution:
    def toHex(self, num: int) -> str:
        Hex='0123456789abcdef' ; ans=''
        if num<0: num+=2**32
        while num>0: ans=Hex[num%16]+ans ; num//=16
        return ans if ans else '0'"
queue reconstruction by height,"class Solution:
    def reconstructQueue(self, people: List[List[int]]) -> List[List[int]]:
        output=[] 
        
        # sort the array in decreasing order of height 
        # within the same height group, you would sort it in increasing order of k
        # eg: Input : [[7,0],[4,4],[7,1],[5,0],[6,1],[5,2]]
        # after sorting: [[7,0],[7,1],[6,1],[5,0],[5,2],[4,4]]
        people.sort(key=lambda x: (-x[0], x[1]))                
        for a in people:
            # Now let's start the greedy here
            # We insert the entry in the output array based on the k value
            # k will act as a position within the array
            output.insert(a[1], a)
        
        return output"
queue reconstruction by height,"class Solution:
    def reconstructQueue(self, people: List[List[int]]) -> List[List[int]]:
        from sortedcontainers import SortedList
        n = len(people)
        people.sort()
        ans = [None] * n
        ans[people[0][1]] = people[0]
        sl = SortedList(range(n))
        toRemove = [people[0][1]]
        for i in range(1, n):
            if people[i][0] != people[i - 1][0]:
                for index in toRemove:
                    sl.remove(index)
                toRemove = []
            ans[sl[people[i][1]]] = people[i]
            toRemove.append(sl[people[i][1]])
        return ans"
trapping rain water ii,"class Solution:
    def trapRainWater(self, heightMap: List[List[int]]) -> int:
        if not heightMap or not heightMap[0]:
            return 0
			
			
		# Initial
		# Board cells cannot trap the water
        m, n = len(heightMap), len(heightMap[0])
        if m < 3 or n < 3:
            return 0
			
			
		# Add Board cells first
        heap = []
        for i in range(m):
            for j in range(n):
                if i == 0 or i == m - 1 or j == 0 or j == n - 1:
                    heapq.heappush(heap, (heightMap[i][j], i, j))
                    heightMap[i][j] = -1
					
					
		# Start from level 0
        level, res = 0, 0
        
		while heap:
            height, x, y = heapq.heappop(heap)
            level = max(height, level)

            for i, j in [(x - 1, y), (x + 1, y), (x, y - 1), (x, y + 1)]:
                if 0 <= i < m and 0 <= j < n and heightMap[i][j] != -1:
                    heapq.heappush(heap, (heightMap[i][j], i, j))
					
					# If cell's height smaller than the level, then it can trap the rain water
                    if heightMap[i][j] < level:
                        res += level - heightMap[i][j]
						
					# Set the height to -1 if the cell is visited
                    heightMap[i][j] = -1

        return res"
trapping rain water ii,"class Solution:
    def trapRainWater(self, heightMap: List[List[int]]) -> int:
        m, n = len(heightMap), len(heightMap[0])
        if m < 3 or n < 3: return 0
        # to simplify the code
        def adjacent(i,j):
            return [(i-1,j), (i+1,j), (i,j-1), (i,j+1)]
        
        # first we sort all heights from the matrix and store their corresponding positions
        # heights will be [(h1,[p1, p2,...]), (h2,[p1, p2, ...]), ...]
        d = defaultdict(list)
        for i in range(m):
            for j in range(n):
                d[heightMap[i][j]].append((i,j))
        heights = sorted(d.items())
        # initialization
        volumn, area, h_lower = 0, 0, heights[0][0]
        level = [[1 for j in range(n)] for i in range(m)]
        for h, positions in heights:
            volumn += area*(h-h_lower)
            h_lower = h
            leak = []
            for i, j in positions:
                # due to height rising, now this position may hold water
                level[i][j] = 0
                area += 1
                if i == 0 or i == m-1 or j == 0 or j == n-1 or any([level[a][b] == -1 for a, b in adjacent(i,j)]):
                    # this position is reachable from outside, therefore cannot hold water
                    leak.append((i,j))
                    level[i][j] = -1
                    area -= 1
            while leak:
                i, j = leak.pop()
                for a, b in adjacent(i,j):
                    if 0 <= a < m and 0 <= b < n and not level[a][b]:
                        # new leaking position found through DFS
                        leak.append((a,b))
                        level[a][b] = -1
                        area -= 1

        return volumn"
longest palindrome,"class Solution:
    def longestPalindrome(self, s: str) -> int:
        oddFlag=0
        
        count=collections.Counter(s)

        ans=0
        for k,v in count.items():
            if v%2==1:
                ans+=v-1
                oddFlag= 1
            else:
                ans+=v
                
        if oddFlag == 1:
            return ans+1
        return ans"
longest palindrome,"class Solution:
    def longestPalindrome(self, s: str) -> int:
        count = {} # Hash Table   
        ans = []   # every word's frequency 
        odd= 0     # store an odd number's frequency 
        for word in s:
            if word not in count:
                count[word] = 1
            else:
                count[word] += 1
        for times in count.values():
            ans.append(times)
            if times % 2 != 0:
                odd += 1      # calculate an odd number's frequency
        if odd != 0:
            return sum(ans) - odd + 1        
        elif odd == 0:
            return sum(ans) - odd"
split array largest sum,"class Solution:
    def splitArray(self, nums: List[int], m: int) -> int:
        def isPossible(maxSum):
            curr = count = 0
            for i in nums:
                count += (i + curr > maxSum)
                curr = curr + i if i + curr <= maxSum else i
            return count + 1 <= m
        
        lo, hi = max(nums), sum(nums)
        while lo <= hi:
            mid = (lo + hi) // 2
            if isPossible(mid): hi = mid - 1
            else: lo = mid + 1
        return lo"
split array largest sum,"class Solution:
    def splitArray(self, nums: [int], m: int) -> int:
        prefixSum = []
        curSum = 0 
        for num in nums: 
            curSum += num
            prefixSum.append(curSum)
        self.prefixSum = prefixSum   
        memo = dict()
        minMax = self.helper(0, m-1, memo)
        return minMax
        
    def getSum(self, start: int, end: int) -> int: 
        res = self.prefixSum[end]
        res -= self.prefixSum[start-1] if start-1 >= 0 else 0 
        return res
    
    def helper(self, index: int, splits: int, memo: dict) -> int: 
        if splits == 0: 
            subarray = self.getSum(index, len(self.prefixSum)-1)
            return subarray
        
        key = (index, splits) 
        if key in memo: 
            return memo[key]
        
        minMax = float('inf')
        maxIndex = len(self.prefixSum)-splits
        for i in range (index, maxIndex): 
            subarray = self.getSum(index, i)
            maxLeftover = self.helper(i+1, splits-1, memo)
            maximum = max(subarray, maxLeftover) 
            minMax = min(minMax, maximum)
        memo[key] = minMax
        return minMax"
fizz buzz,"class Solution:
    def fizzBuzz(self, n: int) -> List[str]:
    	return ['FizzBuzz' if i%15 == 0 else 'Buzz' if i%5 == 0 else 'Fizz' if i%3 == 0 else str(i) for i in range(1,n+1)]
		
		
- Junaid Mansuri
(LeetCode ID)@hotmail.com"
fizz buzz,"class Solution:
    def fizzBuzz(self, n: int) -> List[str]:
        r=[]
        while n:
            if n%3==0 and n%5==0:
                r.append(""FizzBuzz"")
            elif n%3==0:
                r.append(""Fizz"")
            elif n%5==0:
                r.append(""Buzz"")
            else:
                r.append(str(n))
            n-=1
        return r[::-1]"
arithmetic slices,"class Solution:
       def numberOfArithmeticSlices(self, nums: List[int]) -> int:
        count = 0
        for i in range(len(nums)-2):
            j = i+1
            while(j<len(nums)-1):
                if nums[j]-nums[j-1] == nums[j+1]-nums[j]:
                    count += 1
                    j += 1
                else:
                    break
        return count"
arithmetic slices,"class Solution:
    def numberOfArithmeticSlices(self, A: List[int]) -> int:
        if len(A) < 3: return 0
        
        res, counter = 0, 2
        last_dif = A[1] - A[0]
        
        for index, num in enumerate(A[2:], 1):
            
            if last_dif == num - A[index]:
                counter += 1  
            else:
                if counter >= 3:
                    res += (counter - 1) * (counter - 2) // 2   
                counter = 2
                last_dif = num - A[index]
                
                
        if counter >= 3:
            res += (counter - 1) * (counter - 2) // 2
        return res"
third maximum number,"class Solution:
    def thirdMax(self, nums: List[int]) -> int:
    	n, T = list(set(nums)), [float('-inf')]*3
    	for i in n:
    		if i > T[0]:
    			T = [i,T[0],T[1]]
    			continue
    		if i > T[1]:
    			T = [T[0],i,T[1]]
    			continue
    		if i > T[2]:
    			T = [T[0],T[1],i]
    	return T[2] if T[2] != float('-inf') else T[0]
		
		
- Junaid Mansuri"
third maximum number,"class Solution:
    def thirdMax(self, nums: List[int]) -> int:
        
        max1 = nums[0]  #Initialised the max with first index
        secmax = float('-inf') 
        thirmax = float('-inf')
        #assuming second and third to be -infinity
        
        if len(nums)<3:
                return max(nums)
        #this won't run more than 2 times and hence we can consider this in our O(n) solution!
        # It isn't worth writing the Whole Loop logic here
        
        for i in range(len(nums)):
                num = nums[i]
                
				#Read the below if conditions to get the approach of updating First, second and third max respectively
				
                if (num>max1):
                        thirmax = secmax 
                        secmax = max1
                        max1 = nums[i]
                        
                elif(num>secmax and num<max1):
                        thirmax = secmax
                        secmax = num
                        
                elif(num>thirmax and num<secmax):
                        thirmax = num
                        
        return thirmax if thirmax != float('-inf') else max1
		#if condition when the elements get repeated such that thirdmax remains -infinity"
add strings,"class Solution:
	def addStrings(self, num1: str, num2: str) -> str:
		num1 = list(num1)
		num2 = list(num2)
		car = 0
		res = """"
		while num1 or num2 or car:
			if num1:
				car += int(num1.pop())
			if num2:
				car += int(num2.pop())
			res += str((car % 10))
			car //= 10
		return res[::-1]"
add strings,"class Solution:
    def addStrings(self, num1: str, num2: str) -> str:
        def func(n):
            value = {'0':0, '1':1, '2':2, '3':3, '4':4, '5':5, '6':6, '7':7, '8':8, '9':9}
            result = 0
            for digit in n:
                result = 10 * result + value[digit]

            return result

        ans = func(num1) + func(num2)
        return str(ans)"
partition equal subset sum,"class Solution:
    def canPartition(self, nums: List[int]) -> bool:
	    if sum(nums)%2:  # or if sum(nums)&amp;1
		    return False
		# main logic here"
partition equal subset sum,"class Solution:
    def canPartition(self, nums: List[int]) -> bool:
        s = sum(nums)
        if s&amp;1:
            return False
        """"""
        The dp array stores the total obtained sums we have come across so far.
        Notice that dp[0] = True; if we never select any element, the total sum is 0.
        """"""
        dp = [True]+[False]*s
        # Now, loop through each element
        for num in nums:
            for curr in range(s, num-1, -1):  # avoid going out-of-bounds
                """"""
                Case 1: The current sum (curr) has been seen before.
                        Then, if we don't select the current element, the sum will not change.
						So, this total sum will still exist, and its dp value remains True.
				
				Case 2: The current sum (curr) has not been seen before,
				        but it can be obtained by selecting the current element.
						This means that dp[curr-num] = True, and thus dp[curr] now becomes True.
				
				Case 3: The current sum (curr) has not been seen before,
				        and it cannot be obtained by selecting the current element.
						So, this total sum will still not exist, and its dp value remains False.
                """"""
                dp[curr] = dp[curr] or dp[curr-num]
        # Finally, we want to obtain the target sum
        return dp[s//2]  # or dp[s>>1]"
